,name,accuracy,effect_chance,pp,priority,power,damage_class,effect_text,target,type
270,trick,100,NaN,10,0,,status,"User and target permanently swap held items.  Works even if one of the Pokémon isn't holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome.",selected-pokemon,psychic
271,role-play,,NaN,10,0,,status,"User's ability is replaced with the target's until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move.",selected-pokemon,psychic
272,wish,,NaN,10,0,,status,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user's max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate.",user,normal
273,assist,,NaN,20,0,,status,"Uses a move from another Pokémon in the user's party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk.",user,normal
274,ingrain,,NaN,20,0,,status,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.",user,grass
275,superpower,100,100,5,0,120,physical,"Inflicts regular damage, then lowers the user's Attack and Defense by one stage each.",selected-pokemon,fighting
276,magic-coat,,NaN,15,4,,status,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move.",user,psychic
277,recycle,,NaN,10,0,,status,"User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered.",user,normal
278,revenge,100,NaN,10,-4,60,physical,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.",selected-pokemon,fighting
279,brick-break,100,NaN,15,0,75,physical,"Destroys any light screen or reflect on the target's side of the field, then inflicts regular damage.",selected-pokemon,fighting
280,yawn,,NaN,10,0,,status,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.",selected-pokemon,normal
281,knock-off,100,NaN,20,0,65,physical,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.",selected-pokemon,dark
282,endeavor,100,NaN,5,0,,physical,"Inflicts exactly enough damage to lower the target's HP to equal the user's.  If the target's HP is not higher than the user's, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.",selected-pokemon,normal
283,eruption,100,NaN,5,0,150,special,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.",all-opponents,fire
284,skill-swap,,NaN,10,0,,status,"User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pokémon has multitype or wonder guard, this move will fail.",selected-pokemon,psychic
285,imprison,,NaN,10,0,,status,"Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user's moves when this move is used, this move will fail.",user,psychic
286,refresh,,NaN,20,0,,status,"Removes a burn, paralysis, or poison from the user.",user,normal
287,grudge,,NaN,5,0,,status,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.",user,ghost
288,snatch,,NaN,10,4,,status,"The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move's effect.

If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it's affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome.",user,dark
289,secret-power,100,30,20,0,70,physical,"Inflicts regular damage.  Has a $effect_chance% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target's Attack by one stage
Desert         | Lowers target's accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target's accuracy by one stage
Shallow water  | Lowers target's Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target's Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target's accuracy by one stage
Waterfall      | Puts target to sleep
",selected-pokemon,normal
290,dive,100,NaN,10,0,80,physical,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",selected-pokemon,water
291,arm-thrust,100,NaN,20,0,15,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,fighting
292,camouflage,,NaN,20,0,,status,"User's type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | normal
Cave           | rock
Desert         | ground
Grass          | grass
Mountain       | rock
Ocean          | water
Pond           | water
Road           | ground
Snow           | ice
Tall grass     | grass

In Pokémon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | normal
Crystal        | rock
Gateway        | water
Magma          | rock
Main Street    | normal
Neon           | normal
Stargazer      | rock
Sunny Park     | grass
Sunset         | ground
Waterfall      | grass
",user,normal
293,tail-glow,,NaN,20,0,,status,Raises the user's Special Attack by three stages.,user,bug
294,luster-purge,100,50,5,0,70,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,psychic
295,mist-ball,100,50,5,0,70,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Attack by one stage.,selected-pokemon,psychic
296,feather-dance,100,NaN,15,0,,status,Lowers the target's Attack by two stages.,selected-pokemon,flying
297,teeter-dance,100,NaN,20,0,,status,Confuses all targets.,all-other-pokemon,normal
298,blaze-kick,90,10,10,0,85,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a $effect_chance% chance to burn the target.,selected-pokemon,fire
299,mud-sport,,NaN,15,0,,status,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.",entire-field,ground
300,ice-ball,90,NaN,20,0,30,physical,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.",selected-pokemon,ice
301,needle-arm,100,30,15,0,60,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,grass
302,slack-off,,NaN,10,0,,status,Heals the user for half its max HP.,user,normal
303,hyper-voice,100,NaN,10,0,90,special,Inflicts regular damage.,all-opponents,normal
304,poison-fang,100,50,15,0,50,physical,Inflicts regular damage.  Has a $effect_chance% chance to badly poison the target.,selected-pokemon,poison
305,crush-claw,95,50,10,0,75,physical,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Defense by one stage.,selected-pokemon,normal
306,blast-burn,90,NaN,5,0,150,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",selected-pokemon,fire
307,hydro-cannon,90,NaN,5,0,150,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",selected-pokemon,water
308,meteor-mash,90,20,10,0,90,physical,Inflicts regular damage. Has a $effect_chance% chance to raise the user's Attack one stage.,selected-pokemon,steel
309,astonish,100,30,15,0,30,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,ghost
310,weather-ball,100,NaN,10,0,50,special,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.",selected-pokemon,normal
311,aromatherapy,,NaN,5,0,,status,Removes major status effects and confusion from every Pokémon in the user's party.,user-and-allies,grass
312,fake-tears,100,NaN,20,0,,status,Lowers the target's Special Defense by two stages.,selected-pokemon,dark
313,air-cutter,95,NaN,25,0,60,special,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,all-opponents,flying
314,overheat,90,100,5,0,130,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages.",selected-pokemon,fire
315,odor-sleuth,,NaN,40,0,,status,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,selected-pokemon,normal
316,rock-tomb,95,100,15,0,60,physical,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.,selected-pokemon,rock
317,silver-wind,100,10,5,0,60,special,Inflicts regular damage. Has a $effect_chance% chance to raise all of the user's stats one stage.,selected-pokemon,bug
318,metal-sound,85,NaN,40,0,,status,Lowers the target's Special Defense by two stages.,selected-pokemon,steel
319,grass-whistle,55,NaN,15,0,,status,Puts the target to sleep.,selected-pokemon,grass
320,tickle,100,NaN,20,0,,status,Lowers the target's Attack and Defense by one stage.,selected-pokemon,normal
321,cosmic-power,,NaN,20,0,,status,Raises the user's Defense and Special Defense by one stage.,user,psychic
322,water-spout,100,NaN,5,0,150,special,"Inflicts regular damage.  Power increases with the user's remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.",all-opponents,water
323,signal-beam,100,10,15,0,75,special,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,selected-pokemon,bug
324,shadow-punch,,NaN,20,0,60,physical,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,selected-pokemon,ghost
325,extrasensory,100,10,20,0,80,special,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,psychic
326,sky-uppercut,90,NaN,15,0,85,physical,"Inflicts regular damage.

This move can hit Pokémon under the effect of bounce, fly, or sky drop.",selected-pokemon,fighting
327,sand-tomb,85,100,15,0,35,physical,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",selected-pokemon,ground
328,sheer-cold,30,NaN,5,0,,special,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",selected-pokemon,ice
329,muddy-water,85,30,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's accuracy by one stage.,all-opponents,water
330,bullet-seed,100,NaN,30,0,25,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,grass
331,aerial-ace,,NaN,20,0,60,physical,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,selected-pokemon,flying
332,icicle-spear,100,NaN,30,0,25,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,ice
333,iron-defense,,NaN,15,0,,status,Raises the user's Defense by two stages.,user,steel
334,block,,NaN,5,0,,status,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",selected-pokemon,normal
335,howl,,NaN,40,0,,status,Raises the user's Attack by one stage.,user-and-allies,normal
336,dragon-claw,100,NaN,15,0,80,physical,Inflicts regular damage.,selected-pokemon,dragon
337,frenzy-plant,90,NaN,5,0,150,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",selected-pokemon,grass
338,bulk-up,,NaN,20,0,,status,Raises the user's Attack and Defense by one stage each.,user,fighting
339,bounce,85,30,5,0,85,physical,"Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a $effect_chance% chance to paralyze the target.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",selected-pokemon,flying
340,mud-shot,95,100,15,0,55,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Speed by one stage.,selected-pokemon,ground
341,poison-tail,100,10,25,0,50,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a $effect_chance% chance to poison the target.,selected-pokemon,poison
342,covet,100,NaN,25,0,60,physical,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",selected-pokemon,normal
343,volt-tackle,100,10,15,0,120,physical,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,electric
344,magical-leaf,,NaN,20,0,60,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,selected-pokemon,grass
345,water-sport,,NaN,15,0,,status,"fire moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.",entire-field,water
346,calm-mind,,NaN,20,0,,status,Raises the user's Special Attack and Special Defense by one stage each.,user,psychic
347,leaf-blade,100,NaN,15,0,90,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,selected-pokemon,grass
348,dragon-dance,,NaN,20,0,,status,Raises the user's Attack and Speed by one stage each.,user,dragon
349,rock-blast,90,NaN,10,0,25,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",selected-pokemon,rock
350,shock-wave,,NaN,20,0,60,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,selected-pokemon,electric
351,water-pulse,100,20,20,0,60,special,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,selected-pokemon,water
352,doom-desire,100,NaN,5,0,140,special,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move.",selected-pokemon,steel
353,psycho-boost,90,100,5,0,140,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages.",selected-pokemon,psychic
354,roost,,NaN,10,0,,status,"Heals the user for half its max HP.  If the user is flying, its flying type is ignored until the end of this turn.",user,flying
355,gravity,,NaN,5,0,,status,"For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.

Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.

bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.

*Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it.",entire-field,psychic
356,miracle-eye,,NaN,40,0,,status,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A dark Pokémon under this effect takes normal damage from psychic moves.  This move itself ignores accuracy and evasion modifiers.,selected-pokemon,psychic
357,wake-up-slap,100,NaN,10,0,70,physical,"Inflicts regular damage.  If the target is sleeping, this move has double power, and the target wakes up.",selected-pokemon,fighting
358,hammer-arm,90,100,10,0,100,physical,"Inflicts regular damage, then lowers the user's Speed by one stage.",selected-pokemon,fighting
359,gyro-ball,100,NaN,5,0,,physical,"Inflicts regular damage.  Power increases with the target's current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150.",selected-pokemon,steel
360,healing-wish,,NaN,10,0,,status,"User faints.  Its replacement's HP is fully restored, and any major status effect is removed.  If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead.",user,psychic
361,brine,100,NaN,10,0,65,special,"Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power.",selected-pokemon,water
362,natural-gift,100,NaN,15,0,,physical,"Inflicts regular damage.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail.",selected-pokemon,normal
363,feint,100,NaN,10,2,30,physical,"Inflicts regular damage.  Removes the effects of detect or protect from the target before hitting.

This move cannot be copied by mirror move, nor selected by assist or metronome.",selected-pokemon,normal
364,pluck,100,NaN,20,0,60,physical,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen.",selected-pokemon,flying
365,tailwind,,NaN,15,0,,status,"For the next three turns, all Pokémon on the user's side of the field have their original Speed doubled.  This effect remains if the user leaves the field.",users-field,flying
366,acupressure,,NaN,30,0,,status,"Raises one of the target's stats by two stages.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.

If the target has a substitute, this move will have no effect, even if the user is the target.

This move cannot be copied by mirror move.",user-or-ally,normal
367,metal-burst,100,NaN,10,0,,physical,"Targets the last opposing Pokémon to hit the user with a damaging move this turn.  Inflicts 1.5× the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.",specific-move,steel
368,u-turn,100,NaN,20,0,70,physical,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user's trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.

The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.

This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end.",selected-pokemon,bug
369,close-combat,100,100,5,0,120,physical,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each.",selected-pokemon,fighting
370,payback,100,NaN,10,0,50,physical,"Inflicts regular damage.  If the target uses a move or switches out this turn before this move is used, this move has double power.",selected-pokemon,dark
371,assurance,100,NaN,10,0,60,physical,"Inflicts regular damage.  If the target takes damage this turn for any reason before this move is used, this move has double power.",selected-pokemon,dark
372,embargo,100,NaN,15,0,,status,"Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.

If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses fling, it will fail.

This effect is passed by baton pass.",selected-pokemon,dark
373,fling,100,NaN,10,0,,physical,"Inflicts regular damage.  Power and type are determined by the user's held item.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.

This move ignores sticky hold.

If the user is under the effect of embargo, this move will fail.",selected-pokemon,dark
374,psycho-shift,100,NaN,10,0,,status,"If the user has a major status effect and the target does not, the user's status is transferred to the target.",selected-pokemon,psychic
375,trump-card,,NaN,5,0,,special,"Inflicts regular damage.  Power is determined by the PP remaining for this move, after its PP cost is deducted.  Ignores accuracy and evasion modifiers.

PP remaining | Power
------------ | ----:
4 or more    |    40
3            |    50
2            |    60
1            |    80
0            |   200

If this move is activated by another move, the activating move's PP is used to calculate power.",selected-pokemon,normal
376,heal-block,100,NaN,15,0,,status,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target.",all-opponents,psychic
377,wring-out,100,NaN,5,0,,special,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121.",selected-pokemon,normal
378,power-trick,,NaN,10,0,,status,"The user's original Attack and Defense are swapped.

This effect is passed on by baton pass.",user,psychic
379,gastro-acid,100,NaN,10,0,,status,"The target's ability is disabled as long as it remains on the field.

This effect is passed on by baton pass.",selected-pokemon,poison
380,lucky-chant,,NaN,30,0,,status,"For five turns, opposing Pokémon cannot score critical hits.",users-field,normal
381,me-first,,NaN,20,0,,status,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",selected-pokemon-me-first,normal
382,copycat,,NaN,20,0,,status,"Uses the last move that was used successfully by any Pokémon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",user,normal
383,power-swap,,NaN,10,0,,status,User swaps its Attack and Special Attack stat modifiers modifiers with the target.,selected-pokemon,psychic
384,guard-swap,,NaN,10,0,,status,User swaps its Defense and Special Defense modifiers with the target.,selected-pokemon,psychic
385,punishment,100,NaN,5,0,,physical,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power.",selected-pokemon,dark
386,last-resort,100,NaN,5,0,140,physical,"Inflicts regular damage.  This move can only be used if each of the user's other moves has been used at least once since the user entered the field.  If this is the user's only move, this move will fail.",selected-pokemon,normal
387,worry-seed,100,NaN,10,0,,status,"Changes the target's ability to insomnia.

If the target's ability is truant or multitype, this move will fail.",selected-pokemon,grass
388,sucker-punch,100,NaN,5,1,70,physical,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist.",selected-pokemon,dark
389,toxic-spikes,,NaN,20,0,,status,"Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field.  A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead.  Pokémon immune to either ground moves or being poisoned are immune to this effect.  Pokémon otherwise immune to ground moves are affected during gravity.

If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user's side of the field.  defog will remove this effect from its target's side of the field.

This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar.

Pokémon entering the field due to baton pass are not affected by this effect.",opponents-field,poison
390,heart-swap,,NaN,10,0,,status,User swaps its stat modifiers with the target.,selected-pokemon,psychic
391,aqua-ring,,NaN,20,0,,status,"Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass.",user,water
392,magnet-rise,,NaN,10,0,,status,"For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass.",user,electric
393,flare-blitz,100,10,15,0,120,physical,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a $effect_chance% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",selected-pokemon,fire
394,force-palm,100,30,10,0,60,physical,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,selected-pokemon,fighting
395,aura-sphere,,NaN,20,0,80,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,selected-pokemon,fighting
396,rock-polish,,NaN,20,0,,status,Raises the user's Speed by two stages.,user,rock
397,poison-jab,100,30,20,0,80,physical,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,selected-pokemon,poison
398,dark-pulse,100,20,15,0,80,special,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,dark
399,night-slash,100,NaN,15,0,70,physical,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,selected-pokemon,dark
400,aqua-tail,90,NaN,10,0,90,physical,Inflicts regular damage.,selected-pokemon,water
401,seed-bomb,100,NaN,15,0,80,physical,Inflicts regular damage.,selected-pokemon,grass
402,air-slash,95,30,15,0,75,special,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,flying
403,x-scissor,100,NaN,15,0,80,physical,Inflicts regular damage.,selected-pokemon,bug
404,bug-buzz,100,10,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,bug
405,dragon-pulse,100,NaN,10,0,85,special,Inflicts regular damage.,selected-pokemon,dragon
406,dragon-rush,75,20,10,0,100,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,selected-pokemon,dragon
407,power-gem,100,NaN,20,0,80,special,Inflicts regular damage.,selected-pokemon,rock
408,drain-punch,100,NaN,10,0,75,physical,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,selected-pokemon,fighting
409,vacuum-wave,100,NaN,30,1,40,special,Inflicts regular damage.,selected-pokemon,fighting
410,focus-blast,70,10,5,0,120,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,fighting
411,energy-ball,100,10,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,grass
412,brave-bird,100,NaN,15,0,120,physical,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,selected-pokemon,flying
413,earth-power,100,10,10,0,90,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target's Special Defense by one stage.,selected-pokemon,ground
